"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-21",151.5,"2018",2,"2-25",38.7966,-77.29988901,"VAFF","E1","Sprayed",211,179,218,797.4,1294.1,386,722.7,895.6,1427.3,152.5,152.5,152.5,10.9970434782609,0,NA,1
"E1-22",119.5,"2018",1,"1-20",38.8235,-77.71118397,"VABR","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,119.5,119.5,119.5,6.12704347826087,0,NA,6
"E1-23",75,"2018",20,"20-7",48.10384,-80.19977597,"ONKE","E1","Sprayed",171,171,211,324.3,621,324.3,621,797.4,1294.1,73,73,73,19.6370434782609,0.142857142857143,NA,7
"E1-24",100,"2018",14,"14-61",44.29771,-78.300041,"ONPB","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,103,103,103,8.43704347826087,0.166666666666667,NA,6
"E1-25",96,"2018",13,"13-78",44.6076,-76.27898502,"ONCQ","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,96,96,96,6.16704347826087,0,NA,5
"E1-26",138,"2018",11,"11-66",43.28958,-76.128568,"NYWM","E1","Sprayed",211,190,211,797.4,1294.1,533.4,925.1,797.4,1294.1,140,140,140,18.2070434782609,0,NA,5
"E1-27",99,"2018",13,"13-45",44.6076,-76.27898502,"ONCQ","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,102,102,102,7.67704347826087,0,NA,4
"E1-28",96.5,"2018",15,"15-14",44.2915,-79.04909003,"ONBV","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,95,95,95,15.0970434782609,0.2,NA,5
"E1-29",133.5,"2018",16,"16-66",44.75284,-79.33799797,"ONWA","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,132.5,132.5,132.5,5.51704347826087,0,NA,2
"E1-3",111.5,"2018",11,"11-60",43.28958,-76.128568,"NYWM","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,112,112,112,6.23704347826087,0,NA,2
"E1-30",104,"2018",12,"12-60",44.54749,-76.12868903,"ONLY","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,105,105,105,6.76704347826087,0.2,NA,5
"E1-31",120,"2018",19,"19-26",47.73136,-80.32791398,"ONEL","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,118,118,118,5.92704347826087,0,NA,3
"E1-32",98,"2018",15,"15-13",44.2915,-79.04909003,"ONBV","E1","Sprayed",184,179,211,462.5,824.2,386,722.7,797.4,1294.1,99,99,99,7.75704347826087,0,NA,4
