"ind","pop","fam","lat","lon"
"E3-143","16","13",44.75284,-79.33799797
"E3-144","2","46",38.7966,-77.29988901
"E3-145","4","66",40.06813,-76.90717204
"E3-146","14","72",44.29771,-78.300041
"E3-147","6","5",41.57154,-74.48428896
"E3-148","17","21",45.02376,-79.31190301
"E3-149","17","1",45.02376,-79.31190301
"E3-150","10","37",43.69717,-76.19529499
"E3-151","5","50",41.42692,-75.63466896
"E3-152","15","39",44.2915,-79.04909003
"E3-153","12","36",44.54749,-76.12868903
"E3-154","18","77",45.76868,-79.39777502
"E3-155","11","15",43.28958,-76.128568
"E3-156","8","13",41.97527,-75.19598002
"E3-157","17","30",45.02376,-79.31190301
"E3-158","15","22",44.2915,-79.04909003
"E3-159","17","74",45.02376,-79.31190301
"E3-160","16","38",44.75284,-79.33799797
"E3-161","11","26",43.28958,-76.128568
"E3-162","12","47",44.54749,-76.12868903
"E3-163","13","60",44.6076,-76.27898502
"E3-164","4","80",40.06813,-76.90717204
"E3-165","10","72",43.69717,-76.19529499
"E3-166","12","51",44.54749,-76.12868903
"E3-167","8","55",41.97527,-75.19598002
"E3-168","18","76",45.76868,-79.39777502
"E3-169","13","2",44.6076,-76.27898502
"E3-170","6","65",41.57154,-74.48428896
"E3-171","14","9",44.29771,-78.300041
"E3-172","3","45",40.23327,-77.280415
"E3-173","12","68",44.54749,-76.12868903
"E3-174","19","31",47.73136,-80.32791398
"E3-175","3","75",40.23327,-77.280415
"E3-176","12","3",44.54749,-76.12868903
"E3-177","18","3",45.76868,-79.39777502
"E3-178","20","37",48.10384,-80.19977597
"E3-179","15","72",44.2915,-79.04909003
"E3-180","11","58",43.28958,-76.128568
"E3-181","19","69",47.73136,-80.32791398
"E3-182","14","70",44.29771,-78.300041
"E3-183","6","36",41.57154,-74.48428896
"E3-184","11","66",43.28958,-76.128568
"E3-185","12","22",44.54749,-76.12868903
"E3-186","14","16",44.29771,-78.300041
"E3-187","9","33",42.79109,-76.135327
"E3-188","1","17",38.8235,-77.71118397
"E3-189","12","60",44.54749,-76.12868903
"E3-190","20","30",48.10384,-80.19977597
"E3-191","9","27",42.79109,-76.135327
"E3-192","12","75",44.54749,-76.12868903
"E3-193","11","63",43.28958,-76.128568
"E3-194","4","47",40.06813,-76.90717204
"E3-195","13","78",44.6076,-76.27898502
"E3-196","11","60",43.28958,-76.128568
"E3-197","9","72",42.79109,-76.135327
"E3-198","20","5",48.10384,-80.19977597
"E3-199","8","36",41.97527,-75.19598002
"E3-200","15","14",44.2915,-79.04909003
"E4-3","8","58",41.97527,-75.19598002
"E4-4","3","46",40.23327,-77.280415
"E4-5","1","64",38.8235,-77.71118397
"E4-6","1","47",38.8235,-77.71118397
"E4-7","14","16",44.29771,-78.300041
"E4-8","12","68",44.54749,-76.12868903
"E4-9","14","72",44.29771,-78.300041
"E4-10","18","30",45.76868,-79.39777502
"E4-11","4","65",40.06813,-76.90717204
"E4-12","8","63",41.97527,-75.19598002
"E4-13","4","14",40.06813,-76.90717204
"E4-14","18","3",45.76868,-79.39777502
"E4-15","1","26",38.8235,-77.71118397
"E4-16","12","75",44.54749,-76.12868903
"E4-17","4","64",40.06813,-76.90717204
"E4-18","14","17",44.29771,-78.300041
"E4-19","14","21",44.29771,-78.300041
"E4-20","6","36",41.57154,-74.48428896
"E4-21","17","1",45.02376,-79.31190301
"E4-22","11","46",43.28958,-76.128568
"E4-23","18","2",45.76868,-79.39777502
"E4-24","16","66",44.75284,-79.33799797
"E4-25","20","23",48.10384,-80.19977597
"E4-26","11","63",43.28958,-76.128568
"E4-27","15","72",44.2915,-79.04909003
"E4-28","4","46",40.06813,-76.90717204
"E4-29","19","26",47.73136,-80.32791398
"E4-30","10","2",43.69717,-76.19529499
"E4-31","19","38",47.73136,-80.32791398
"E4-32","10","37",43.69717,-76.19529499
"E4-33","10","30",43.69717,-76.19529499
"E4-34","1","25",38.8235,-77.71118397
"E4-35","11","58",43.28958,-76.128568
"E4-36","13","47",44.6076,-76.27898502
"E4-37","1","7",38.8235,-77.71118397
"E4-38","11","66",43.28958,-76.128568
"E4-39","5","14",41.42692,-75.63466896
"E4-40","9","72",42.79109,-76.135327
"E4-41","12","51",44.54749,-76.12868903
