"ind","FFDAYS","FLOWER"
"E2-7",190,TRUE
"E2-70",190,TRUE
"E2-71",197,TRUE
"E2-72",197,TRUE
"E2-73",190,TRUE
"E2-74",211,TRUE
"E2-75",211,TRUE
"E2-76",197,TRUE
"E2-77",NA,FALSE
"E2-78",211,TRUE
"E2-79",184,TRUE
"E2-8",190,TRUE
"E2-80",190,TRUE
"E2-81",197,TRUE
"E2-82",184,TRUE
"E2-83",197,TRUE
"E2-84",197,TRUE
"E2-85",211,TRUE
"E2-86",219,TRUE
"E2-87",184,TRUE
"E2-88",NA,FALSE
"E2-89",NA,FALSE
"E2-9",190,TRUE
"E2-90",211,TRUE
"E2-91",211,TRUE
"E2-92",197,TRUE
"E2-93",219,TRUE
"E2-94",NA,FALSE
"E2-95",211,TRUE
"E2-96",NA,FALSE
"E2-97",211,TRUE
"E2-98",211,TRUE
"E2-99",211,TRUE
"E3-1",184,TRUE
"E3-10",190,TRUE
"E3-100",190,TRUE
"E3-101",178,TRUE
"E3-102",NA,FALSE
"E3-103",184,TRUE
"E3-104",184,TRUE
"E3-105",190,TRUE
"E3-106",211,TRUE
"E3-107",178,TRUE
"E3-108",190,TRUE
"E3-109",184,TRUE
"E3-11",184,TRUE
"E3-110",178,TRUE
"E3-111",184,TRUE
"E3-112",184,TRUE
"E3-113",184,TRUE
"E3-114",198,TRUE
"E3-115",184,TRUE
"E3-116",184,TRUE
"E3-117",184,TRUE
"E3-118",198,TRUE
"E3-119",172,TRUE
"E3-12",184,TRUE
"E3-120",172,TRUE
"E3-121",184,TRUE
"E3-122",198,TRUE
"E3-123",172,TRUE
"E3-124",178,TRUE
"E3-125",184,TRUE
"E3-126",190,TRUE
"E3-127",184,TRUE
"E3-128",172,TRUE
"E3-129",190,TRUE
"E3-13",184,TRUE
"E3-130",190,TRUE
"E3-131",184,TRUE
"E3-132",172,TRUE
"E3-133",190,TRUE
"E3-134",172,TRUE
"E3-135",190,TRUE
"E3-136",190,TRUE
"E3-137",198,TRUE
"E3-138",184,TRUE
"E3-139",190,TRUE
"E3-14",184,TRUE
"E3-140",211,TRUE
"E3-141",190,TRUE
"E3-142",198,TRUE
"E3-143",190,TRUE
"E3-144",190,TRUE
"E3-145",190,TRUE
"E3-146",184,TRUE
