"ind","FFDAYS","FLOWER"
"E2-40",218,TRUE
"E2-41",212,TRUE
"E2-42",206,TRUE
"E2-43",233,TRUE
"E2-44",233,TRUE
"E2-45",225,TRUE
"E2-46",272,TRUE
"E2-47",225,TRUE
"E2-48",218,TRUE
"E2-49",225,TRUE
"E2-5",206,TRUE
"E2-50",272,TRUE
"E2-51",233,TRUE
"E2-52",212,TRUE
"E2-53",225,TRUE
"E2-54",206,TRUE
"E2-55",225,TRUE
"E2-56",206,TRUE
"E2-57",272,TRUE
"E2-58",206,TRUE
"E2-59",272,TRUE
"E2-6",206,TRUE
"E2-60",206,TRUE
"E2-61",272,TRUE
"E2-62",225,TRUE
"E2-63",212,TRUE
"E2-64",NA,FALSE
"E2-65",NA,FALSE
"E2-66",NA,FALSE
"E2-67",NA,FALSE
"E2-68",225,TRUE
"E2-69",218,TRUE
"E2-7",196,TRUE
"E2-70",206,TRUE
"E2-71",225,TRUE
"E2-72",212,TRUE
"E2-73",206,TRUE
"E2-74",218,TRUE
"E2-75",218,TRUE
"E2-76",225,TRUE
"E2-77",NA,FALSE
"E2-78",225,TRUE
"E2-79",218,TRUE
"E2-8",NA,FALSE
"E2-80",218,TRUE
"E2-81",233,TRUE
"E2-82",206,TRUE
"E2-83",233,TRUE
"E2-84",212,TRUE
"E2-85",272,TRUE
"E2-86",225,TRUE
"E2-87",206,TRUE
"E2-88",NA,FALSE
"E2-89",206,TRUE
"E2-9",206,TRUE
"E2-90",218,TRUE
"E2-91",225,TRUE
"E2-92",218,TRUE
"E2-93",218,TRUE
"E2-94",233,TRUE
"E2-95",233,TRUE
"E2-96",NA,FALSE
"E2-97",212,TRUE
"E2-98",212,TRUE
"E2-99",225,TRUE
"E3-1",190,TRUE
"E3-10",197,TRUE
"E3-100",210,TRUE
"E3-101",185,TRUE
"E3-103",204,TRUE
"E3-104",204,TRUE
"E3-105",204,TRUE
"E3-106",272,TRUE
"E3-107",190,TRUE
"E3-108",190,TRUE
"E3-109",204,TRUE
"E3-11",183,TRUE
"E3-110",204,TRUE
"E3-111",197,TRUE
"E3-112",204,TRUE
"E3-113",197,TRUE
"E3-114",220,TRUE
"E3-115",197,TRUE
"E3-116",197,TRUE
"E3-117",197,TRUE
"E3-118",220,TRUE
"E3-119",197,TRUE
"E3-12",190,TRUE
"E3-120",190,TRUE
"E3-121",204,TRUE
"E3-122",NA,FALSE
"E3-123",197,TRUE
"E3-124",190,TRUE
"E3-125",197,TRUE
"E3-126",204,TRUE
"E3-127",204,TRUE
"E3-128",204,TRUE
"E3-129",220,TRUE
"E3-13",190,TRUE
"E3-130",204,TRUE
"E3-131",197,TRUE
"E3-132",190,TRUE
"E3-133",204,TRUE
"E3-134",178,TRUE
"E3-135",204,TRUE
"E3-136",204,TRUE
"E3-137",NA,FALSE
"E3-138",197,TRUE
"E3-139",197,TRUE
"E3-14",197,TRUE
"E3-140",204,TRUE
"E3-141",197,TRUE
"E3-142",272,TRUE
"E3-143",197,TRUE
"E3-144",204,TRUE
"E3-145",210,TRUE
"E3-146",197,TRUE
"E3-147",220,TRUE
"E3-148",197,TRUE
"E3-149",197,TRUE
"E3-15",204,TRUE
"E3-150",204,TRUE
"E3-151",204,TRUE
"E3-152",197,TRUE
"E3-153",204,TRUE
"E3-154",204,TRUE
