Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
e11,111,30.01,df,jan 8th 2020,DF,0,,
e11,112,30.3,df,jan 8th 2020,DF,0,,
e11,113,32.4,df,jan 8th 2020,DF,0,,
e11,114,30.44,df,jan 8th 2020,DF,0,,
e11,115,37.65,df,jan 8th 2020,DF,0,,
e11,116,30.6,df,jan 8th 2020,DF,0,,
e11,117,32.74,df,jan 8th 2020,DF,0,,
e11,118,30.92,df,jan 8th 2020,DF,0,,
e11,119,32.14,df,jan 8th 2020,DF,0,,
e11,120,30.39,df,jan 8th 2020,DF,0,,
e11,121,28.4,df,jan 8th 2020,DF,0,,
e11,122,30.61,df,jan 8th 2020,DF,0,,
e11,123,30.15,df,jan 8th 2020,DF,0,,
e11,124,28.69,df,jan 8th 2020,DF,0,,
